Vertices                      Edges Prob.                   Max Weight                    Search Time
5                             0.125                         68                            3.528594970703125e-05
5                             0.25                          69                            8.344650268554688e-06
5                             0.5                           100                           1.9550323486328125e-05
5                             0.75                          117                           1.8596649169921875e-05
6                             0.125                         80                            5.4836273193359375e-06
6                             0.25                          80                            6.67572021484375e-06
6                             0.5                           83                            1.621246337890625e-05
6                             0.75                          103                           3.2901763916015625e-05
7                             0.125                         79                            6.4373016357421875e-06
7                             0.25                          97                            8.821487426757812e-06
7                             0.5                           100                           2.09808349609375e-05
7                             0.75                          149                           4.1961669921875e-05
8                             0.125                         68                            7.3909759521484375e-06
8                             0.25                          97                            8.344650268554688e-06
8                             0.5                           128                           2.1696090698242188e-05
8                             0.75                          137                           6.246566772460938e-05
9                             0.125                         97                            6.9141387939453125e-06
9                             0.25                          97                            1.0251998901367188e-05
9                             0.5                           128                           2.5987625122070312e-05
9                             0.75                          179                           8.130073547363281e-05
10                            0.125                         70                            7.3909759521484375e-06
10                            0.25                          80                            1.1205673217773438e-05
10                            0.5                           132                           4.649162292480469e-05
10                            0.75                          180                           9.059906005859375e-05
11                            0.125                         70                            7.867813110351562e-06
11                            0.25                          80                            1.239776611328125e-05
11                            0.5                           140                           5.507469177246094e-05
11                            0.75                          210                           0.00015044212341308594
12                            0.125                         88                            1.0013580322265625e-05
12                            0.25                          92                            2.288818359375e-05
12                            0.5                           136                           4.100799560546875e-05
12                            0.75                          184                           9.036064147949219e-05
13                            0.125                         70                            1.0013580322265625e-05
13                            0.25                          80                            1.52587890625e-05
13                            0.5                           124                           7.05718994140625e-05
13                            0.75                          166                           0.0001475811004638672
14                            0.125                         88                            1.0967254638671875e-05
14                            0.25                          88                            1.811981201171875e-05
14                            0.5                           146                           8.082389831542969e-05
14                            0.75                          194                           0.00016927719116210938
15                            0.125                         88                            1.1920928955078125e-05
15                            0.25                          97                            2.0503997802734375e-05
15                            0.5                           118                           5.8650970458984375e-05
15                            0.75                          220                           0.00034618377685546875
16                            0.125                         53                            1.239776611328125e-05
16                            0.25                          140                           3.814697265625e-05
16                            0.5                           169                           0.00014901161193847656
16                            0.75                          186                           0.00029754638671875
17                            0.125                         136                           2.5033950805664062e-05
17                            0.25                          136                           4.029273986816406e-05
