Vertices                      Edges Prob.                   Max Weight                    Search Time
5                             0.125                         68                            6.628036499023438e-05
5                             0.25                          69                            4.0531158447265625e-05
5                             0.5                           100                           0.00012683868408203125
5                             0.75                          117                           0.0001780986785888672
6                             0.125                         80                            2.4080276489257812e-05
6                             0.25                          80                            4.363059997558594e-05
6                             0.5                           83                            0.0001316070556640625
6                             0.75                          103                           0.0003962516784667969
7                             0.125                         79                            3.218650817871094e-05
7                             0.25                          97                            6.508827209472656e-05
7                             0.5                           100                           0.00019431114196777344
7                             0.75                          149                           0.0006639957427978516
8                             0.125                         68                            4.863739013671875e-05
8                             0.25                          97                            9.179115295410156e-05
8                             0.5                           128                           0.0003294944763183594
8                             0.75                          137                           0.0015704631805419922
9                             0.125                         97                            6.937980651855469e-05
9                             0.25                          100                           0.00014638900756835938
9                             0.5                           148                           0.0004963874816894531
9                             0.75                          179                           0.0022802352905273438
10                            0.125                         73                            6.842613220214844e-05
10                            0.25                          80                            0.0001354217529296875
10                            0.5                           132                           0.0008642673492431641
10                            0.75                          180                           0.0028731822967529297
11                            0.125                         87                            8.392333984375e-05
11                            0.25                          87                            0.00016617774963378906
11                            0.5                           140                           0.0010259151458740234
11                            0.75                          210                           0.004945278167724609
12                            0.125                         88                            0.00013637542724609375
12                            0.25                          100                           0.0003814697265625
12                            0.5                           136                           0.0009539127349853516
12                            0.75                          222                           0.004475116729736328
13                            0.125                         79                            0.0001506805419921875
13                            0.25                          96                            0.0006515979766845703
13                            0.5                           127                           0.0016467571258544922
13                            0.75                          166                           0.005697488784790039
14                            0.125                         88                            0.0001811981201171875
14                            0.25                          100                           0.0005719661712646484
14                            0.5                           146                           0.002507925033569336
14                            0.75                          194                           0.007231950759887695
15                            0.125                         96                            0.00022530555725097656
15                            0.25                          109                           0.0006101131439208984
15                            0.5                           169                           0.0027723312377929688
15                            0.75                          242                           0.018445491790771484
16                            0.125                         96                            0.00027060508728027344
16                            0.25                          140                           0.0008766651153564453
16                            0.5                           169                           0.005868434906005859
16                            0.75                          208                           0.015312433242797852
17                            0.125                         136                           0.0005865097045898438
17                            0.25                          136                           0.0011315345764160156
17                            0.5                           177                           0.0051038265228271484
17                            0.75                          253                           0.028038978576660156
18                            0.125                         140                           0.0005195140838623047
