Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
5                             0.125                         68                            33                            32                            3.886222839355469e-05
5                             0.25                          69                            34                            32                            2.09808349609375e-05
5                             0.5                           100                           52                            32                            5.507469177246094e-05
5                             0.75                          117                           81                            32                            0.00010204315185546875
6                             0.125                         80                            65                            64                            2.7179718017578125e-05
6                             0.25                          80                            79                            64                            5.1975250244140625e-05
6                             0.5                           83                            141                           64                            0.00014901161193847656
6                             0.75                          103                           229                           64                            0.0003139972686767578
7                             0.125                         79                            130                           128                           5.2928924560546875e-05
7                             0.25                          97                            158                           128                           0.00011873245239257812
7                             0.5                           100                           388                           128                           0.0004947185516357422
7                             0.75                          149                           593                           128                           0.0009009838104248047
8                             0.125                         68                            277                           256                           0.00014495849609375
8                             0.25                          97                            410                           256                           0.0003859996795654297
8                             0.5                           128                           844                           256                           0.0012149810791015625
8                             0.75                          137                           1579                          256                           0.0029349327087402344
9                             0.125                         97                            544                           512                           0.000263214111328125
9                             0.25                          100                           773                           512                           0.0007631778717041016
9                             0.5                           148                           2294                          512                           0.0038242340087890625
9                             0.75                          179                           3752                          512                           0.0077610015869140625
10                            0.125                         73                            1069                          1024                          0.0004820823669433594
10                            0.25                          80                            2047                          1024                          0.002691984176635742
10                            0.5                           132                           5842                          1024                          0.011461734771728516
10                            0.75                          180                           9175                          1024                          0.022191762924194336
11                            0.125                         87                            2324                          2048                          0.0015861988067626953
11                            0.25                          87                            3738                          2048                          0.005155086517333984
11                            0.5                           140                           12362                         2048                          0.027834177017211914
11                            0.75                          210                           22630                         2048                          0.06492805480957031
12                            0.125                         88                            4544                          4096                          0.002933025360107422
12                            0.25                          100                           10272                         4096                          0.017638206481933594
12                            0.5                           136                           32080                         4096                          0.08215713500976562
12                            0.75                          222                           53733                         4096                          0.16933131217956543
13                            0.125                         79                            8795                          8192                          0.0051419734954833984
13                            0.25                          96                            18870                         8192                          0.03428363800048828
13                            0.5                           127                           79016                         8192                          0.22753405570983887
13                            0.75                          166                           126280                        8192                          0.45365309715270996
14                            0.125                         88                            19673                         16384                         0.018225908279418945
14                            0.25                          100                           51276                         16384                         0.1109781265258789
14                            0.5                           146                           187249                        16384                         0.6099720001220703
14                            0.75                          194                           294028                        16384                         1.2041738033294678
15                            0.125                         96                            37682                         32768                         0.032379150390625
15                            0.25                          109                           94648                         32768                         0.22029805183410645
15                            0.5                           169                           401916                        32768                         1.4391648769378662
15                            0.75                          242                           670652                        32768                         3.057141065597534
16                            0.125                         96                            87601                         65536                         0.11194300651550293
16                            0.25                          140                           259816                        65536                         0.6907181739807129
16                            0.5                           169                           960316                        65536                         3.719398021697998
16                            0.75                          208                           1530556                       65536                         7.596557140350342
17                            0.125                         136                           164069                        131072                        0.19437599182128906
17                            0.25                          136                           469338                        131072                        1.3390798568725586
17                            0.5                           177                           2227308                       131072                        9.822282075881958
17                            0.75                          253                           3461066                       131072                        18.796168088912964
18                            0.125                         140                           309967                        262144                        0.336108922958374
18                            0.25                          140                           1262798                       262144                        4.033056020736694
18                            0.5                           173                           4719620                       262144                        21.806220769882202
18                            0.75                          231                           7717630                       262144                        46.249037981033325
19                            0.125                         136                           721730                        524288                        1.142991065979004
19                            0.25                          136                           2255780                       524288                        7.7947328090667725
19                            0.5                           198                           10866238                      524288                        54.87886118888855
19                            0.75                          249                           17281792                      524288                        111.76274394989014
20                            0.125                         128                           1338744                       1048576                       2.23728609085083
20                            0.25                          128                           6066390                       1048576                       23.07494807243347
20                            0.5                           169                           24753736                      1048576                       135.83351111412048
