Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
5                             0.125                         68                            8                             1                             3.504753112792969e-05
5                             0.25                          69                            8                             1                             1.1920928955078125e-05
5                             0.5                           100                           17                            1                             3.0994415283203125e-05
5                             0.75                          117                           19                            1                             3.4809112548828125e-05
6                             0.125                         80                            7                             1                             8.106231689453125e-06
6                             0.25                          80                            9                             1                             1.0013580322265625e-05
6                             0.5                           83                            19                            1                             3.4809112548828125e-05
6                             0.75                          103                           31                            1                             9.393692016601562e-05
7                             0.125                         79                            10                            1                             1.0013580322265625e-05
7                             0.25                          97                            11                            1                             1.2159347534179688e-05
7                             0.5                           100                           22                            1                             3.886222839355469e-05
7                             0.75                          149                           35                            1                             9.393692016601562e-05
8                             0.125                         68                            15                            1                             1.0728836059570312e-05
8                             0.25                          97                            13                            1                             1.52587890625e-05
8                             0.5                           128                           26                            1                             5.1975250244140625e-05
8                             0.75                          137                           51                            1                             0.0001862049102783203
9                             0.125                         97                            10                            1                             1.0967254638671875e-05
9                             0.25                          97                            15                            1                             1.5974044799804688e-05
9                             0.5                           128                           30                            1                             5.2928924560546875e-05
9                             0.75                          179                           57                            1                             0.00021600723266601562
10                            0.125                         70                            11                            1                             1.1920928955078125e-05
10                            0.25                          80                            17                            1                             1.7881393432617188e-05
10                            0.5                           132                           42                            1                             0.00011181831359863281
10                            0.75                          180                           63                            1                             0.00023293495178222656
11                            0.125                         70                            12                            1                             1.2159347534179688e-05
11                            0.25                          80                            19                            1                             1.8835067749023438e-05
11                            0.5                           140                           47                            1                             0.00013208389282226562
11                            0.75                          210                           83                            1                             0.00042510032653808594
12                            0.125                         88                            14                            1                             1.6927719116210938e-05
12                            0.25                          92                            28                            1                             4.982948303222656e-05
12                            0.5                           136                           45                            1                             8.177757263183594e-05
12                            0.75                          184                           69                            1                             0.00019502639770507812
13                            0.125                         70                            15                            1                             1.71661376953125e-05
13                            0.25                          80                            25                            1                             2.8848648071289062e-05
13                            0.5                           124                           59                            1                             0.00016307830810546875
13                            0.75                          166                           88                            1                             0.00040411949157714844
14                            0.125                         88                            17                            1                             1.811981201171875e-05
14                            0.25                          88                            28                            1                             2.8133392333984375e-05
14                            0.5                           146                           65                            1                             0.00020503997802734375
14                            0.75                          194                           98                            1                             0.00041985511779785156
15                            0.125                         88                            19                            1                             1.7881393432617188e-05
15                            0.25                          97                            32                            1                             3.886222839355469e-05
15                            0.5                           118                           64                            1                             0.00013113021850585938
15                            0.75                          220                           134                           1                             0.0009870529174804688
16                            0.125                         53                            21                            1                             2.47955322265625e-05
16                            0.25                          140                           42                            1                             9.107589721679688e-05
16                            0.5                           169                           90                            1                             0.00039196014404296875
16                            0.75                          186                           132                           1                             0.0007741451263427734
17                            0.125                         136                           29                            1                             5.1975250244140625e-05
