Max Weight Clique - MonteCarloProb Algorithm

Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
5                             0.125                         68                            8                             20                            0.0002162456512451172
5                             0.25                          69                            14                            20                            0.0002675056457519531
5                             0.5                           100                           30                            20                            0.00023126602172851562
5                             0.75                          117                           41                            20                            0.00022125244140625
6                             0.125                         80                            9                             38                            0.0003528594970703125
6                             0.25                          80                            33                            38                            0.0006704330444335938
6                             0.5                           80                            62                            38                            0.0005030632019042969
6                             0.75                          100                           105                           38                            0.0008463859558105469
7                             0.125                         79                            32                            67                            0.0007150173187255859
7                             0.25                          97                            89                            67                            0.0006101131439208984
7                             0.5                           97                            152                           67                            0.0007202625274658203
7                             0.75                          148                           232                           67                            0.0007867813110351562
8                             0.125                         68                            85                            122                           0.0015134811401367188
8                             0.25                          97                            178                           122                           0.0015461444854736328
8                             0.5                           128                           381                           122                           0.0019631385803222656
8                             0.75                          137                           522                           122                           0.002435922622680664
9                             0.125                         97                            218                           218                           0.001977682113647461
9                             0.25                          100                           475                           218                           0.002526998519897461
9                             0.5                           148                           875                           218                           0.0033655166625976562
9                             0.75                          179                           1235                          218                           0.004080772399902344
10                            0.125                         73                            423                           400                           0.004167318344116211
10                            0.25                          80                            956                           400                           0.004666805267333984
10                            0.5                           132                           1923                          400                           0.006889820098876953
10                            0.75                          176                           2783                          400                           0.00932765007019043
11                            0.125                         87                            1119                          732                           0.008604764938354492
11                            0.25                          87                            2230                          732                           0.011012792587280273
11                            0.5                           140                           4563                          732                           0.016073226928710938
11                            0.75                          210                           6444                          732                           0.022449254989624023
12                            0.125                         88                            2453                          1353                          0.016797304153442383
12                            0.25                          100                           4886                          1353                          0.02169060707092285
12                            0.5                           136                           9470                          1353                          0.03396105766296387
12                            0.75                          222                           14444                         1353                          0.05106163024902344
13                            0.125                         79                            4956                          2522                          0.03986954689025879
13                            0.25                          96                            10488                         2522                          0.05068850517272949
13                            0.5                           127                           21279                         2522                          0.08356928825378418
13                            0.75                          166                           31761                         2522                          0.12498831748962402
14                            0.125                         88                            12038                         4739                          0.07767057418823242
14                            0.25                          100                           23604                         4739                          0.10523200035095215
14                            0.5                           146                           46758                         4739                          0.1813831329345703
14                            0.75                          186                           70324                         4739                          0.2874295711517334
15                            0.125                         96                            28938                         8961                          0.15450763702392578
15                            0.25                          109                           54647                         8961                          0.22808527946472168
15                            0.5                           169                           104108                        8961                          0.44028663635253906
15                            0.75                          242                           155863                        8961                          0.6679494380950928
16                            0.125                         96                            61756                         17026                         0.36199164390563965
16                            0.25                          140                           119237                        17026                         0.5414206981658936
16                            0.5                           165                           230059                        17026                         0.9839565753936768
16                            0.75                          203                           334587                        17026                         1.590338945388794
17                            0.125                         133                           128008                        32504                         0.7342369556427002
17                            0.25                          136                           250286                        32504                         1.1215846538543701
17                            0.5                           177                           485048                        32504                         2.181150197982788
17                            0.75                          253                           500009                        26568                         2.328749179840088
18                            0.125                         140                           277107                        62294                         1.7686855792999268
18                            0.25                          140                           500005                        60233                         2.4387381076812744
18                            0.5                           173                           500014                        41591                         2.4243133068084717
18                            0.75                          225                           500010                        31724                         2.513925313949585
19                            0.125                         136                           264559                        75001                         1.6764845848083496
19                            0.25                          136                           500008                        72671                         2.4786899089813232
19                            0.5                           198                           500009                        48114                         2.559479236602783
19                            0.75                          232                           500006                        36041                         2.6325082778930664
20                            0.125                         128                           212881                        75001                         1.4652841091156006
20                            0.25                          128                           408973                        75001                         2.320722818374634
20                            0.5                           169                           500001                        51342                         2.6356468200683594
20                            0.75                          267                           500013                        39468                         2.7826011180877686
21                            0.125                         93                            166044                        75001                         1.5946075916290283
21                            0.25                          111                           341720                        75001                         2.318678140640259
21                            0.5                           151                           489461                        57436                         3.0038185119628906
21                            0.75                          267                           483337                        41210                         3.0015485286712646
22                            0.125                         100                           142336                        75001                         1.7301161289215088
22                            0.25                          111                           303251                        75001                         2.2576520442962646
22                            0.5                           155                           461748                        58450                         3.0029077529907227
22                            0.75                          237                           443701                        42488                         3.000654697418213
23                            0.125                         98                            145499                        75001                         1.4125080108642578
23                            0.25                          117                           291305                        75001                         2.257434844970703
23                            0.5                           144                           409080                        57217                         3.001012086868286
23                            0.75                          211                           392105                        42559                         3.0034384727478027
24                            0.125                         91                            136364                        75001                         1.4009618759155273
24                            0.25                          128                           280805                        75001                         2.3121681213378906
24                            0.5                           174                           376238                        57350                         3.00426983833313
24                            0.75                          248                           363325                        40429                         3.0024313926696777
25                            0.125                         97                            112489                        75001                         1.4555864334106445
25                            0.25                          118                           231373                        75001                         2.312936544418335
25                            0.5                           158                           339387                        56628                         3.003835678100586
25                            0.75                          236                           335283                        40224                         3.001462936401367
26                            0.125                         91                            111241                        75001                         1.4416499137878418
26                            0.25                          108                           216826                        75001                         2.384061574935913
26                            0.5                           140                           303430                        55023                         3.003153085708618
26                            0.75                          231                           293856                        38745                         3.000757932662964
27                            0.125                         91                            103614                        75001                         1.4523532390594482
27                            0.25                          111                           201674                        75001                         2.3923380374908447
27                            0.5                           165                           279414                        53867                         3.001366138458252
27                            0.75                          206                           263217                        39065                         3.0002636909484863
28                            0.125                         87                            98377                         75001                         1.8209939002990723
28                            0.25                          92                            193131                        75001                         2.5211548805236816
